0.0001,100,1,5
1 = Jupiter,2 = Callisto,3 = Io,4 = Europa,5 = Ganymede
time,energy,ang_mom,r1x,r1y,r1z,v1x,v1y,v1z,r2x,r2y,r2z,v2x,v2y,v2z,r3x,r3y,r3z,v3x,v3y,v3z,r4x,r4y,r4z,v4x,v4y,v4z,r5x,r5y,r5z,v5x,v5y,v5z
0.0056,-40378.81858613991,211.230390557049,7.604077209863687e-05,-0.0001029792878062462,-2.476519172714779e-06,0.01779900999565574,-0.01151144401974115,-8.305973153870406e-05,-0.7858889422739697,-0.5286080839609809,-0.02707784688456361,64.61453698965525,-95.35990898688263,-2.117413573062223,-0.142633366815119,-0.1540349801295956,-0.007479908387594451,180.2392903319874,-167.4554682078411,-3.314306164252325,0.2415205343458219,0.2290385697217324,0.01290319589033439,-134.5646869032395,141.9574092605043,1.717483796187185,0.4033899878637887,0.3512246099799873,0.01912735566392733,-100.7915749338954,116.0674194960441,2.994402575512143
0.0057,-40378.7878208482,211.230390557049,7.779495094467817e-05,-0.0001041608822037257,-2.486166897253675e-06,0.01733680710416119,-0.01216125875342554,-0.0001106304948752002,-0.7793690274148776,-0.5381047641652787,-0.02728757434542511,65.77897475924044,-94.5665902078008,-2.076977496749161,-0.1236350757337576,-0.1697295401217294,-0.007760286025930523,198.4235328140882,-145.3724649590947,-2.274479895336753,0.2276509191097242,0.2428421976660882,0.01305285938544835,-142.5894104866206,133.8796897702765,1.273269799706432,0.3931443674248268,0.3626863492866791,0.01941890059957311,-104.0782378369925,113.1203567914214,2.835308214437319
0.0058,-40378.74331868198,211.2303905570489,7.950813351946911e-05,-0.0001054115395569314,-2.498645271689818e-06,0.01698407984880964,-0.01288548239313749,-0.0001393484908638113,-0.7727331473221215,-0.5475214020025411,-0.02749324238391344,66.93375575435562,-93.75911846708112,-2.036228054147122,-0.1029486602523014,-0.1831094731214145,-0.007934804366661802,213.8862604969989,-121.3262788356775,-1.204539037106523,0.2130026522484978,0.2558145076757877,0.01315784985027568,-150.1241831061488,125.3457497828675,0.8248080099134525,0.3825743402963901,0.3738486813382716,0.01969441730681479,-107.2783830490105,110.080529204953,2.673904705782956
0.0059,-40378.68580798258,211.230390557049,8.119176691444009e-05,-0.0001067379786823532,-2.514036595426437e-06,0.01674985174337004,-0.01366911127031117,-0.0001685590952352331,-0.7659822762640064,-0.5568565878586951,-0.02769481995625454,68.07870885184589,-92.93760836822931,-1.995171123297184,-0.08085782363435783,-0.1939947958888649,-0.008001193833351829,226.4175545929026,-95.65604437154411,-0.1194562150334249,0.1976260824884944,0.2679113476226617,0.01321782098743104,-157.1428743922739,116.3857843401829,0.3736735298919072,0.3716886908150246,0.3847024551276697,0.01995368154072969,-110.3893966507348,106.9504827701887,2.510326315649188
0.006,-40378.61621972763,211.230390557049,8.285810386814312e-05,-0.0001081453618109936,-2.532357090736865e-06,0.01664115265197157,-0.01449615090602779,-0.0001976009483175051,-0.7591174055517522,-0.566108923676187,-0.02789227660857288,69.21366433694304,-92.10217644394913,-1.953812624098407,-0.05766514933372088,-0.2022406819957233,-0.007958695609668488,235.8510233618643,-68.72288856203588,0.9656459267714044,0.181574077370043,0.2790916645438243,0.01323258455625406,-163.621286309953,107.031517050613,-0.07855079895531142,0.3604964609662432,0.3952387778923093,0.02019648256994463,-113.4087406969408,103.7328352591108,2.344708989288833
0.0061,-40378.53566434058,211.230390557049,8.45199974448344e-05,-0.0001096372088635587,-2.553556785089938e-06,0.01666291957158442,-0.01534988861930485,-0.0002258169807519012,-0.7521395433966177,-0.5752770231474849,-0.02808558248107422,70.33845393682637,-91.25294116927031,-1.912158518356628,-0.03368761896198497,-0.2077393736012721,-0.007808064647997549,242.0659628430855,-40.90406325085611,2.035732640525645,0.1649018252265038,0.2893176510327843,0.01320211082763998,-169.5372440650991,97.31606764096442,-0.5302807714742752,0.3490069426756365,0.4054490221794919,0.02042262333858746,-116.3339553776619,100.4302740126455,2.177190232332016
0.006200000000000001,-40378.44540535931,211.230390557049,8.619068778246001e-05,-0.0001112153395348546,-2.577520486887245e-06,0.01681793745323126,-0.01621317381925381,-0.0002525651371586406,-0.7450497147643869,-0.5843595119100411,-0.02827470831224421,71.45291084114884,-90.39002297547518,-1.870214809971446,-0.009251956765103785,-0.2104214946458945,-0.007551549081563359,244.9886612544046,-12.58691110661713,3.076088553687026,0.1476666285570232,0.2985548780720172,0.0131265284019592,-174.8706771341258,87.27381371552394,-0.979937163399458,0.3372296698907108,0.4153248326948384,0.02063192061641103,-119.1626610396653,97.04555376080312,2.007908993028306
0.0063,-40378.34683102842,211.230390557049,8.788358493548068e-05,-0.0001128798436274095,-2.604069812521666e-06,0.01710681989226326,-0.01706869952186061,-0.0002772285724763753,-0.7378489612283878,-0.59335502774258,-0.02845962544306851,72.55686971278396,-89.51354426126035,-1.827987545117523,0.01531011328889596,-0.2102567558225955,-0.007192846937260143,244.5928504735627,15.83719706637596,4.072537904491241,0.1299276897996787,0.306772413775889,0.01300612339496009,-179.60369006593,76.94024769239557,-1.425952008347726,0.3251744104677035,0.4248581329316525,0.02082420513719312,-121.8925600684612,93.58149440985336,1.837005545412423
0.0064,-40378.24142482585,211.230390557049,8.961205176091268e-05,-0.0001146290794392267,-2.63296620138252e-06,0.01752802837213862,-0.01789927896648599,-0.0002992251239313721,-0.73053834082183,-0.6022622207622932,-0.02864030582126771,73.65016669260474,-88.62362939907491,-1.785482812320696,0.03966661332960875,-0.2072540552326193,-0.00673704150066511,240.8993324139875,43.97882303771678,5.011649327642345,0.1117458905438372,0.3139429276104963,0.01284133800028966,-183.7206227699071,66.35182988914353,-1.866774770428989,0.3128511578770187,0.4340411315768091,0.02099932172549351,-124.5214386405201,90.04097877765743,1.664621373092104
0.006500000000000001,-40378.13073586501,211.230390557049,9.138919060990839e-05,-0.0001164596994207067,-2.66391483730794e-06,0.01807792773583666,-0.01868811175734337,-0.0003180158954864704,-0.7231189278898669,-0.611079753622395,-0.02881672200553265,74.73263940175968,-87.72040473593951,-1.742706742376716,0.06348997977169346,-0.2014609912150521,-0.006190517071731673,233.9748296254212,71.45620092604192,5.880921704988671,0.09318356524569726,0.3200427797537178,0.01263276844087429,-187.2081000788188,55.54583871353664,-2.300878377363036,0.3002701227395995,0.442866328687184,0.02115712941181154,-127.0471683602797,86.42695026461996,1.490899053273835
